status,tensor_name,comparison,value_count,mean_abs_error,max_abs_error,rmse,fp32_mean,int8_mean,note
available,logits,float_vs_post_qdq,524288,0.29228181,3.90386534,0.43130763,-4.8553896,-4.82760715,
available,/up3/conv/layers/layers.3/Conv_output_0,float_vs_post_qdq,8388608,0.14979936,3.65972567,0.24975625,0.33586812,0.33012244,
available,/up2/conv/layers/layers.3/Conv_output_0,float_vs_post_qdq,4194304,0.09146539,2.04362679,0.13379207,-0.01565896,-0.02006218,
available,/up3/conv/layers/layers.5/Relu_output_0,float_vs_post_qdq,8388608,0.08853492,3.0298183,0.1924448,0.74599385,0.74579757,
available,/up3/conv/layers/layers.0/Conv_output_0,float_vs_post_qdq,8388608,0.08775562,2.65917468,0.14576084,-0.03014437,-0.0292819,
available,/down3/layers/layers.1/layers/layers.3/Conv_output_0,float_vs_post_qdq,1048576,0.08754267,1.01636505,0.11710784,-0.13997227,-0.13680767,
available,/up1/conv/layers/layers.3/Conv_output_0,float_vs_post_qdq,2097152,0.08599497,1.35461903,0.11879921,-0.07386035,-0.07763122,
available,/up1/conv/layers/layers.0/Conv_output_0,float_vs_post_qdq,2097152,0.08421957,1.16024852,0.11571691,-0.1061924,-0.10416269,
available,/up2/conv/layers/layers.0/Conv_output_0,float_vs_post_qdq,4194304,0.08203056,1.60302722,0.11686439,-0.02922782,-0.02529879,
available,/down2/layers/layers.1/layers/layers.3/Conv_output_0,float_vs_post_qdq,2097152,0.08152646,0.94506752,0.11058414,-0.20117652,-0.20741972,
available,/down3/layers/layers.1/layers/layers.0/Conv_output_0,float_vs_post_qdq,1048576,0.08135405,0.84053099,0.10900777,-0.19064955,-0.20168954,
available,/down2/layers/layers.1/layers/layers.0/Conv_output_0,float_vs_post_qdq,2097152,0.07814346,0.85973948,0.10156114,-0.10664153,-0.10917996,
available,/down1/layers/layers.1/layers/layers.3/Conv_output_0,float_vs_post_qdq,4194304,0.07055853,0.67694557,0.09001978,-0.0924755,-0.09108983,
available,/in_conv/layers/layers.3/Conv_output_0,float_vs_post_qdq,8388608,0.06170592,0.44915438,0.07850886,-0.01524779,-0.02010348,
available,/down1/layers/layers.1/layers/layers.0/Conv_output_0,float_vs_post_qdq,4194304,0.06101348,0.42725164,0.0769773,-0.03221112,-0.03615766,
available,/down3/layers/layers.0/MaxPool_output_0,float_vs_post_qdq,524288,0.0503924,0.77310956,0.08619579,0.45807135,0.4626444,
available,/down2/layers/layers.0/MaxPool_output_0,float_vs_post_qdq,1048576,0.04719488,0.56365478,0.07303614,0.45740333,0.464362,
available,/up3/conv/layers/layers.2/Relu_output_0,float_vs_post_qdq,8388608,0.04410127,2.14464045,0.09768925,0.3203389,0.32242987,
available,/in_conv/layers/layers.0/Conv_output_0,float_vs_post_qdq,8388608,0.04325154,0.21234155,0.05198631,0.05199124,0.05376282,
available,/up2/conv/layers/layers.2/Relu_output_0,float_vs_post_qdq,4194304,0.04154909,1.56717491,0.08191469,0.28923509,0.29645509,
available,/down1/layers/layers.0/MaxPool_output_0,float_vs_post_qdq,2097152,0.04069948,0.4140408,0.06418063,0.42238289,0.42300576,
available,/up3/Concat_2_output_0,float_vs_post_qdq,25165824,0.03978185,1.83797574,0.0793636,0.31408611,0.31271738,
available,/up1/conv/layers/layers.2/Relu_output_0,float_vs_post_qdq,2097152,0.03890738,1.13842463,0.07925362,0.27667409,0.27846062,
available,/up2/Concat_2_output_0,float_vs_post_qdq,12582912,0.03677759,1.23418236,0.068742,0.27126506,0.27085841,
available,/down2/layers/layers.1/layers/layers.2/Relu_output_0,float_vs_post_qdq,2097152,0.03623978,0.85613322,0.06956916,0.29438156,0.29611421,
available,/up1/Concat_2_output_0,float_vs_post_qdq,6291456,0.03447681,0.87468374,0.06526649,0.27694127,0.27656615,
available,/down3/layers/layers.1/layers/layers.2/Relu_output_0,float_vs_post_qdq,1048576,0.03402884,0.83344698,0.0691327,0.26410553,0.26214886,
available,/down1/layers/layers.1/layers/layers.2/Relu_output_0,float_vs_post_qdq,4194304,0.03364093,0.4466337,0.05844306,0.28709114,0.28438783,
available,/in_conv/layers/layers.2/Relu_output_0,float_vs_post_qdq,8388608,0.0255823,0.24509144,0.04340992,0.35973299,0.36794221,
available,image,float_vs_post_qdq,1572864,1e-08,6e-08,2e-08,0.35614052,0.35614058,
