node_index,node_name,node_display_name,op_type,conv_index,block_hint,input_names,output_names,exclusion_recipes
0,/in_conv/layers/layers.0/Conv,/in_conv/layers/layers.0/Conv,Conv,0,in_conv,image|onnx::Conv_200|onnx::Conv_201,/in_conv/layers/layers.0/Conv_output_0,first_last_fp32
1,/in_conv/layers/layers.2/Relu,/in_conv/layers/layers.2/Relu,Relu,,in_conv,/in_conv/layers/layers.0/Conv_output_0,/in_conv/layers/layers.2/Relu_output_0,
2,/in_conv/layers/layers.3/Conv,/in_conv/layers/layers.3/Conv,Conv,1,in_conv,/in_conv/layers/layers.2/Relu_output_0|onnx::Conv_203|onnx::Conv_204,/in_conv/layers/layers.3/Conv_output_0,first_last_fp32
3,/in_conv/layers/layers.5/Relu,/in_conv/layers/layers.5/Relu,Relu,,in_conv,/in_conv/layers/layers.3/Conv_output_0,/in_conv/layers/layers.5/Relu_output_0,
4,/down1/layers/layers.0/MaxPool,/down1/layers/layers.0/MaxPool,MaxPool,,down1,/in_conv/layers/layers.5/Relu_output_0,/down1/layers/layers.0/MaxPool_output_0,
5,/down1/layers/layers.1/layers/layers.0/Conv,/down1/layers/layers.1/layers/layers.0/Conv,Conv,2,down1,/down1/layers/layers.0/MaxPool_output_0|onnx::Conv_206|onnx::Conv_207,/down1/layers/layers.1/layers/layers.0/Conv_output_0,
6,/down1/layers/layers.1/layers/layers.2/Relu,/down1/layers/layers.1/layers/layers.2/Relu,Relu,,down1,/down1/layers/layers.1/layers/layers.0/Conv_output_0,/down1/layers/layers.1/layers/layers.2/Relu_output_0,
7,/down1/layers/layers.1/layers/layers.3/Conv,/down1/layers/layers.1/layers/layers.3/Conv,Conv,3,down1,/down1/layers/layers.1/layers/layers.2/Relu_output_0|onnx::Conv_209|onnx::Conv_210,/down1/layers/layers.1/layers/layers.3/Conv_output_0,
8,/down1/layers/layers.1/layers/layers.5/Relu,/down1/layers/layers.1/layers/layers.5/Relu,Relu,,down1,/down1/layers/layers.1/layers/layers.3/Conv_output_0,/down1/layers/layers.1/layers/layers.5/Relu_output_0,
9,/down2/layers/layers.0/MaxPool,/down2/layers/layers.0/MaxPool,MaxPool,,down2,/down1/layers/layers.1/layers/layers.5/Relu_output_0,/down2/layers/layers.0/MaxPool_output_0,
10,/down2/layers/layers.1/layers/layers.0/Conv,/down2/layers/layers.1/layers/layers.0/Conv,Conv,4,down2,/down2/layers/layers.0/MaxPool_output_0|onnx::Conv_212|onnx::Conv_213,/down2/layers/layers.1/layers/layers.0/Conv_output_0,
11,/down2/layers/layers.1/layers/layers.2/Relu,/down2/layers/layers.1/layers/layers.2/Relu,Relu,,down2,/down2/layers/layers.1/layers/layers.0/Conv_output_0,/down2/layers/layers.1/layers/layers.2/Relu_output_0,
12,/down2/layers/layers.1/layers/layers.3/Conv,/down2/layers/layers.1/layers/layers.3/Conv,Conv,5,down2,/down2/layers/layers.1/layers/layers.2/Relu_output_0|onnx::Conv_215|onnx::Conv_216,/down2/layers/layers.1/layers/layers.3/Conv_output_0,
13,/down2/layers/layers.1/layers/layers.5/Relu,/down2/layers/layers.1/layers/layers.5/Relu,Relu,,down2,/down2/layers/layers.1/layers/layers.3/Conv_output_0,/down2/layers/layers.1/layers/layers.5/Relu_output_0,
14,/down3/layers/layers.0/MaxPool,/down3/layers/layers.0/MaxPool,MaxPool,,down3,/down2/layers/layers.1/layers/layers.5/Relu_output_0,/down3/layers/layers.0/MaxPool_output_0,
15,/down3/layers/layers.1/layers/layers.0/Conv,/down3/layers/layers.1/layers/layers.0/Conv,Conv,6,down3,/down3/layers/layers.0/MaxPool_output_0|onnx::Conv_218|onnx::Conv_219,/down3/layers/layers.1/layers/layers.0/Conv_output_0,
16,/down3/layers/layers.1/layers/layers.2/Relu,/down3/layers/layers.1/layers/layers.2/Relu,Relu,,down3,/down3/layers/layers.1/layers/layers.0/Conv_output_0,/down3/layers/layers.1/layers/layers.2/Relu_output_0,
17,/down3/layers/layers.1/layers/layers.3/Conv,/down3/layers/layers.1/layers/layers.3/Conv,Conv,7,down3,/down3/layers/layers.1/layers/layers.2/Relu_output_0|onnx::Conv_221|onnx::Conv_222,/down3/layers/layers.1/layers/layers.3/Conv_output_0,
18,/down3/layers/layers.1/layers/layers.5/Relu,/down3/layers/layers.1/layers/layers.5/Relu,Relu,,down3,/down3/layers/layers.1/layers/layers.3/Conv_output_0,/down3/layers/layers.1/layers/layers.5/Relu_output_0,
19,/up1/Shape,/up1/Shape,Shape,,up1,/down2/layers/layers.1/layers/layers.5/Relu_output_0,/up1/Shape_output_0,
20,/up1/Constant,/up1/Constant,Constant,,up1,,/up1/Constant_output_0,
21,/up1/Gather,/up1/Gather,Gather,,up1,/up1/Shape_output_0|/up1/Constant_output_0,/up1/Gather_output_0,
22,/up1/Shape_1,/up1/Shape_1,Shape,,up1,/down2/layers/layers.1/layers/layers.5/Relu_output_0,/up1/Shape_1_output_0,
23,/up1/Constant_1,/up1/Constant_1,Constant,,up1,,/up1/Constant_1_output_0,
24,/up1/Gather_1,/up1/Gather_1,Gather,,up1,/up1/Shape_1_output_0|/up1/Constant_1_output_0,/up1/Gather_1_output_0,
25,Constant_46,Constant_46,Constant,,unknown,,onnx::Unsqueeze_120,
26,/up1/Unsqueeze,/up1/Unsqueeze,Unsqueeze,,up1,/up1/Gather_output_0|onnx::Unsqueeze_120,/up1/Unsqueeze_output_0,
27,Constant_48,Constant_48,Constant,,unknown,,onnx::Unsqueeze_122,
28,/up1/Unsqueeze_1,/up1/Unsqueeze_1,Unsqueeze,,up1,/up1/Gather_1_output_0|onnx::Unsqueeze_122,/up1/Unsqueeze_1_output_0,
29,/up1/Concat,/up1/Concat,Concat,,up1,/up1/Unsqueeze_output_0|/up1/Unsqueeze_1_output_0,/up1/Concat_output_0,
30,/up1/Shape_2,/up1/Shape_2,Shape,,up1,/down3/layers/layers.1/layers/layers.5/Relu_output_0,/up1/Shape_2_output_0,
31,/up1/Constant_2,/up1/Constant_2,Constant,,up1,,/up1/Constant_2_output_0,
32,/up1/Constant_3,/up1/Constant_3,Constant,,up1,,/up1/Constant_3_output_0,
33,/up1/Constant_4,/up1/Constant_4,Constant,,up1,,/up1/Constant_4_output_0,
34,/up1/Slice,/up1/Slice,Slice,,up1,/up1/Shape_2_output_0|/up1/Constant_3_output_0|/up1/Constant_4_output_0|/up1/Constant_2_output_0,/up1/Slice_output_0,
35,/up1/Cast,/up1/Cast,Cast,,up1,/up1/Concat_output_0,/up1/Cast_output_0,
36,/up1/Concat_1,/up1/Concat_1,Concat,,up1,/up1/Slice_output_0|/up1/Cast_output_0,/up1/Concat_1_output_0,
37,/up1/Resize,/up1/Resize,Resize,,up1,/down3/layers/layers.1/layers/layers.5/Relu_output_0|||/up1/Concat_1_output_0,/up1/Resize_output_0,
38,/up1/Concat_2,/up1/Concat_2,Concat,,up1,/down2/layers/layers.1/layers/layers.5/Relu_output_0|/up1/Resize_output_0,/up1/Concat_2_output_0,
39,/up1/conv/layers/layers.0/Conv,/up1/conv/layers/layers.0/Conv,Conv,8,up1,/up1/Concat_2_output_0|onnx::Conv_224|onnx::Conv_225,/up1/conv/layers/layers.0/Conv_output_0,decoder_fp32
40,/up1/conv/layers/layers.2/Relu,/up1/conv/layers/layers.2/Relu,Relu,,up1,/up1/conv/layers/layers.0/Conv_output_0,/up1/conv/layers/layers.2/Relu_output_0,
41,/up1/conv/layers/layers.3/Conv,/up1/conv/layers/layers.3/Conv,Conv,9,up1,/up1/conv/layers/layers.2/Relu_output_0|onnx::Conv_227|onnx::Conv_228,/up1/conv/layers/layers.3/Conv_output_0,decoder_fp32
42,/up1/conv/layers/layers.5/Relu,/up1/conv/layers/layers.5/Relu,Relu,,up1,/up1/conv/layers/layers.3/Conv_output_0,/up1/conv/layers/layers.5/Relu_output_0,
43,/up2/Shape,/up2/Shape,Shape,,up2,/down1/layers/layers.1/layers/layers.5/Relu_output_0,/up2/Shape_output_0,
44,/up2/Constant,/up2/Constant,Constant,,up2,,/up2/Constant_output_0,
45,/up2/Gather,/up2/Gather,Gather,,up2,/up2/Shape_output_0|/up2/Constant_output_0,/up2/Gather_output_0,
46,/up2/Shape_1,/up2/Shape_1,Shape,,up2,/down1/layers/layers.1/layers/layers.5/Relu_output_0,/up2/Shape_1_output_0,
47,/up2/Constant_1,/up2/Constant_1,Constant,,up2,,/up2/Constant_1_output_0,
48,/up2/Gather_1,/up2/Gather_1,Gather,,up2,/up2/Shape_1_output_0|/up2/Constant_1_output_0,/up2/Gather_1_output_0,
49,Constant_70,Constant_70,Constant,,unknown,,onnx::Unsqueeze_148,
50,/up2/Unsqueeze,/up2/Unsqueeze,Unsqueeze,,up2,/up2/Gather_output_0|onnx::Unsqueeze_148,/up2/Unsqueeze_output_0,
51,Constant_72,Constant_72,Constant,,unknown,,onnx::Unsqueeze_150,
52,/up2/Unsqueeze_1,/up2/Unsqueeze_1,Unsqueeze,,up2,/up2/Gather_1_output_0|onnx::Unsqueeze_150,/up2/Unsqueeze_1_output_0,
53,/up2/Concat,/up2/Concat,Concat,,up2,/up2/Unsqueeze_output_0|/up2/Unsqueeze_1_output_0,/up2/Concat_output_0,
54,/up2/Shape_2,/up2/Shape_2,Shape,,up2,/up1/conv/layers/layers.5/Relu_output_0,/up2/Shape_2_output_0,
55,/up2/Constant_2,/up2/Constant_2,Constant,,up2,,/up2/Constant_2_output_0,
56,/up2/Constant_3,/up2/Constant_3,Constant,,up2,,/up2/Constant_3_output_0,
57,/up2/Constant_4,/up2/Constant_4,Constant,,up2,,/up2/Constant_4_output_0,
58,/up2/Slice,/up2/Slice,Slice,,up2,/up2/Shape_2_output_0|/up2/Constant_3_output_0|/up2/Constant_4_output_0|/up2/Constant_2_output_0,/up2/Slice_output_0,
59,/up2/Cast,/up2/Cast,Cast,,up2,/up2/Concat_output_0,/up2/Cast_output_0,
60,/up2/Concat_1,/up2/Concat_1,Concat,,up2,/up2/Slice_output_0|/up2/Cast_output_0,/up2/Concat_1_output_0,
61,/up2/Resize,/up2/Resize,Resize,,up2,/up1/conv/layers/layers.5/Relu_output_0|||/up2/Concat_1_output_0,/up2/Resize_output_0,
62,/up2/Concat_2,/up2/Concat_2,Concat,,up2,/down1/layers/layers.1/layers/layers.5/Relu_output_0|/up2/Resize_output_0,/up2/Concat_2_output_0,
63,/up2/conv/layers/layers.0/Conv,/up2/conv/layers/layers.0/Conv,Conv,10,up2,/up2/Concat_2_output_0|onnx::Conv_230|onnx::Conv_231,/up2/conv/layers/layers.0/Conv_output_0,decoder_fp32
64,/up2/conv/layers/layers.2/Relu,/up2/conv/layers/layers.2/Relu,Relu,,up2,/up2/conv/layers/layers.0/Conv_output_0,/up2/conv/layers/layers.2/Relu_output_0,
65,/up2/conv/layers/layers.3/Conv,/up2/conv/layers/layers.3/Conv,Conv,11,up2,/up2/conv/layers/layers.2/Relu_output_0|onnx::Conv_233|onnx::Conv_234,/up2/conv/layers/layers.3/Conv_output_0,decoder_fp32
66,/up2/conv/layers/layers.5/Relu,/up2/conv/layers/layers.5/Relu,Relu,,up2,/up2/conv/layers/layers.3/Conv_output_0,/up2/conv/layers/layers.5/Relu_output_0,
67,/up3/Shape,/up3/Shape,Shape,,up3,/in_conv/layers/layers.5/Relu_output_0,/up3/Shape_output_0,
68,/up3/Constant,/up3/Constant,Constant,,up3,,/up3/Constant_output_0,
69,/up3/Gather,/up3/Gather,Gather,,up3,/up3/Shape_output_0|/up3/Constant_output_0,/up3/Gather_output_0,
70,/up3/Shape_1,/up3/Shape_1,Shape,,up3,/in_conv/layers/layers.5/Relu_output_0,/up3/Shape_1_output_0,
71,/up3/Constant_1,/up3/Constant_1,Constant,,up3,,/up3/Constant_1_output_0,
72,/up3/Gather_1,/up3/Gather_1,Gather,,up3,/up3/Shape_1_output_0|/up3/Constant_1_output_0,/up3/Gather_1_output_0,
73,Constant_94,Constant_94,Constant,,unknown,,onnx::Unsqueeze_176,
74,/up3/Unsqueeze,/up3/Unsqueeze,Unsqueeze,,up3,/up3/Gather_output_0|onnx::Unsqueeze_176,/up3/Unsqueeze_output_0,
75,Constant_96,Constant_96,Constant,,unknown,,onnx::Unsqueeze_178,
76,/up3/Unsqueeze_1,/up3/Unsqueeze_1,Unsqueeze,,up3,/up3/Gather_1_output_0|onnx::Unsqueeze_178,/up3/Unsqueeze_1_output_0,
77,/up3/Concat,/up3/Concat,Concat,,up3,/up3/Unsqueeze_output_0|/up3/Unsqueeze_1_output_0,/up3/Concat_output_0,
78,/up3/Shape_2,/up3/Shape_2,Shape,,up3,/up2/conv/layers/layers.5/Relu_output_0,/up3/Shape_2_output_0,
79,/up3/Constant_2,/up3/Constant_2,Constant,,up3,,/up3/Constant_2_output_0,
80,/up3/Constant_3,/up3/Constant_3,Constant,,up3,,/up3/Constant_3_output_0,
81,/up3/Constant_4,/up3/Constant_4,Constant,,up3,,/up3/Constant_4_output_0,
