display_label,model_family,deployment_role,status,split,sample_count,mean_dice,mean_iou,mean_precision,mean_recall,roi_ece,boundary_ece,mean_latency_ms,device,backend_note,onnx_model_size_mb,compression_ratio_vs_fp32,threshold,exclusion_recipe,calibration_strategy,qat_seed,training_signal,quantization,promptable,direct_deployment_comparison,dice_drop_vs_fp32_onnx,passes_dice_drop_gate_002,source_summary,evidence_strength,note
"MedSAM teacher, clean prompt",teacher_promptable,promptable teacher reference,available,test,150,0.863613,0.780167,0.968192,0.797004,0.063678,0.191838,257.550207,cuda,"PyTorch, prompted teacher",,,,,,,pretrained MedSAM,none,yes,"no, prompt-assisted upper-bound reference",,not_applicable,teacher_baseline_kvasir_seg_test_summary.csv,test_summary,
LoRA-adapted MedSAM teacher,teacher_lora_promptable,adapted promptable teacher,available,test,150,0.936846,0.891136,0.949973,0.934923,0.025419,0.082799,276.04522,cuda,"PyTorch, prompted teacher",,,,,,,LoRA teacher adaptation,none,yes,"no, prompt-assisted upper-bound reference",,not_applicable,lora_teacher_kvasir_seg_test_clean_summary.csv,test_summary,
GT-only FP32 U-Net,student_gt_only,plain automatic student baseline,available,test,150,0.730889,0.615427,0.812388,0.738469,0.092798,0.172728,25.697533,cuda,PyTorch student,,,,,,,ground-truth masks only,none,no,yes,,not_applicable,student_student_baseline_test_test_eval_summary.csv,test_summary,
Teacher-distilled FP32 U-Net,student_teacher_distilled,distilled automatic student baseline,available,test,150,0.707398,0.583328,0.707648,0.803341,0.086676,0.142356,25.305573,cuda,PyTorch student,,,,,,,MedSAM teacher soft masks,none,no,yes,,not_applicable,student_student_distilled_test_test_eval_summary.csv,test_summary,
LoRA-teacher FP32 U-Net,student_lora_distilled,LoRA-teacher distilled student checkpoint,available,test,150,0.777901,0.666914,0.800009,0.81786,0.073206,0.160489,33.588187,cuda,PyTorch student,,,,,,,LoRA-MedSAM teacher soft masks,none,no,yes,,not_applicable,student_student_distilled_lora_teacher_test_test_eval_summary.csv,test_summary,
LoRA-student FP32 ONNX,fp32_onnx_reference,deployment reference,available,test,150,0.777909,0.666922,0.800018,0.81786,0.073204,0.160493,72.864104,onnxruntime:CPUExecutionProvider,ONNX Runtime CPUExecutionProvider; repeated CPU benchmark,1.871842,,,,,,LoRA-teacher distillation,none,no,yes,,not_applicable,student_distilled_lora_teacher_fp32_onnx_test_onnx_cpu_eval_summary.csv,test_summary,
Naive INT8 QDQ,naive_int8,failed PTQ baseline,available,test,150,0.744729,0.624883,0.756275,0.811866,0.081175,0.163876,55.528338,onnxruntime:CPUExecutionProvider,ONNX Runtime CPUExecutionProvider; repeated CPU benchmark,0.512587,3.651755,,,,,LoRA-teacher distillation,full Conv INT8 QDQ,no,yes,0.03318,False,student_distilled_lora_teacher_int8_test_quantized_eval_summary.csv,test_summary,
Selective PTQ INT8,selective_ptq_int8,mixed-precision PTQ rescue attempt,available,test,150,0.745919,0.629845,0.821276,0.747458,0.090272,0.293491,59.312384,onnxruntime:CPUExecutionProvider,ONNX Runtime CPUExecutionProvider; repeated CPU benchmark,0.532918,3.512439,0.825,last_decoder_fp32,representative,,LoRA-teacher distillation,selective INT8 QDQ,no,yes,0.03199,False,stage9_selective_ptq_best_test_summary.csv,test_summary,
QAT INT8 seed 4,qat_selective_int8_seed,seed replication of final INT8 path,available,test,150,0.783973,0.677332,0.841077,0.787289,0.070189,0.16228,56.678159,onnxruntime:CPUExecutionProvider,ONNX Runtime CPUExecutionProvider; repeated CPU benchmark,0.511592,3.658857,0.55,none,qat_boundary_hard,4,QAT-distillation with boundary-aware loss,selective INT8 QDQ after QAT,no,yes,-0.006064,True,stage9_qat_ptq_best_test_summary.csv,archived_table_raw_and_model,
QAT INT8 seed 5,qat_selective_int8_seed,seed replication of final INT8 path,available,test,150,0.782924,0.67426,0.825323,0.802222,0.065884,0.191667,64.546158,onnxruntime:CPUExecutionProvider,ONNX Runtime CPUExecutionProvider; repeated CPU benchmark,0.53292,3.512426,0.65,last_decoder_fp32,qat_boundary_hard,5,QAT-distillation with boundary-aware loss,selective INT8 QDQ after QAT,no,yes,-0.005015,True,stage9_qat_ptq_best_test_summary.csv,archived_table_raw_and_model,
QAT INT8 seed 6,qat_selective_int8_seed,seed replication of final INT8 path,available,test,150,0.772903,0.665667,0.836509,0.777418,0.075663,0.169788,52.387903,onnxruntime:CPUExecutionProvider,ONNX Runtime CPUExecutionProvider; repeated CPU benchmark,0.511594,3.658843,0.55,none,qat_boundary_hard,6,QAT-distillation with boundary-aware loss,selective INT8 QDQ after QAT,no,yes,0.005006,True,stage9_qat_ptq_best_test_summary.csv,archived_table_raw_and_model,
QAT INT8 seeds 4-6 mean,qat_selective_int8_seed_mean,final INT8 path seed summary,available,test,150,0.779933,,,,0.070579,0.174578,57.87074,,seed summary from repeated CPU benchmark rows,0.518702,3.610042,,validation-selected per seed,qat_boundary_hard,4|5|6,QAT-distillation with boundary-aware loss,selective INT8 QDQ after QAT,no,yes,-0.002024,True,q1_qat_seed_reproducibility_table.csv,3 seeds; dice_sd=0.006111; min=0.772903; max=0.783973,Aggregate row for study baseline table.
