label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s256_minmax_raw,0.85,150,0.758361,0.833252,0.646109,0.805094,0.787752,17,8
s256_minmax_raw,0.825,150,0.758126,0.830823,0.645763,0.798056,0.794476,16,8
s256_minmax_raw,0.775,150,0.757711,0.820683,0.645242,0.791069,0.800996,15,8
s256_minmax_raw,0.8,150,0.757711,0.820683,0.645242,0.791069,0.800996,15,8
s256_minmax_raw,0.875,150,0.757506,0.828102,0.645211,0.818943,0.772863,18,7
s256_minmax_raw,0.75,150,0.757003,0.821802,0.644387,0.784068,0.80723,13,8
s256_minmax_raw,0.9,150,0.756539,0.828259,0.644248,0.826226,0.764442,19,7
s256_minmax_raw,0.725,150,0.756151,0.818566,0.643358,0.7838,0.813381,14,8
s256_minmax_raw,0.675,150,0.755077,0.815179,0.642019,0.776791,0.819183,14,8
s256_minmax_raw,0.7,150,0.755077,0.815179,0.642019,0.776791,0.819183,14,8
s256_minmax_raw,0.65,150,0.754008,0.808048,0.640663,0.770134,0.824834,14,8
s256_minmax_raw,0.925,150,0.753264,0.823423,0.640839,0.835659,0.745517,21,7
s256_minmax_raw,0.6,150,0.752735,0.805218,0.639089,0.76297,0.830137,14,8
s256_minmax_raw,0.625,150,0.752735,0.805218,0.639089,0.76297,0.830137,14,8
s256_minmax_raw,0.55,150,0.751453,0.808069,0.63754,0.756807,0.835289,15,9
s256_minmax_raw,0.575,150,0.751453,0.808069,0.63754,0.756807,0.835289,15,9
s256_minmax_raw,0.525,150,0.750161,0.809335,0.63592,0.750597,0.840387,15,9
s256_minmax_raw,0.5,150,0.748652,0.804458,0.634039,0.744182,0.845407,15,9
s256_minmax_raw,0.95,150,0.746458,0.816826,0.63376,0.854094,0.720845,20,9
