label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s32_percentile_raw,0.8,150,0.756672,0.821931,0.644653,0.800221,0.78934,16,8
s32_percentile_raw,0.775,150,0.756544,0.817512,0.644418,0.794436,0.79495,16,8
s32_percentile_raw,0.825,150,0.756514,0.828358,0.644583,0.805752,0.783496,17,8
s32_percentile_raw,0.75,150,0.756414,0.813687,0.64416,0.795427,0.800588,16,8
s32_percentile_raw,0.725,150,0.756127,0.813246,0.643701,0.789785,0.80597,16,8
s32_percentile_raw,0.85,150,0.756003,0.828747,0.644031,0.811252,0.777195,17,7
s32_percentile_raw,0.675,150,0.755687,0.809177,0.643036,0.784336,0.811082,13,8
s32_percentile_raw,0.7,150,0.755687,0.809177,0.643036,0.784336,0.811082,13,8
s32_percentile_raw,0.65,150,0.755054,0.807167,0.642177,0.778898,0.815907,14,8
s32_percentile_raw,0.875,150,0.754441,0.823543,0.64232,0.822311,0.764034,18,7
s32_percentile_raw,0.625,150,0.75441,0.809772,0.641295,0.773632,0.82063,14,9
s32_percentile_raw,0.575,150,0.753569,0.805865,0.640204,0.768011,0.825227,14,9
s32_percentile_raw,0.6,150,0.753569,0.805865,0.640204,0.768011,0.825227,14,9
s32_percentile_raw,0.55,150,0.75267,0.802938,0.639045,0.762732,0.829602,14,9
s32_percentile_raw,0.525,150,0.751578,0.799381,0.637698,0.757342,0.833864,14,9
s32_percentile_raw,0.9,150,0.751467,0.816042,0.639029,0.833124,0.749381,17,8
s32_percentile_raw,0.5,150,0.750241,0.799406,0.636009,0.751498,0.837919,14,9
s32_percentile_raw,0.925,150,0.747193,0.808549,0.634472,0.845536,0.732266,19,10
s32_percentile_raw,0.95,150,0.73678,0.811386,0.62366,0.858492,0.701587,20,11
