label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed,0.825,150,0.760484,0.831625,0.64873,0.813231,0.78935,15,8
s64_minmax_preprocessed,0.85,150,0.760425,0.83021,0.648827,0.813414,0.782573,15,8
s64_minmax_preprocessed,0.8,150,0.76038,0.826667,0.648475,0.80663,0.795709,16,8
s64_minmax_preprocessed,0.875,150,0.760033,0.835083,0.648547,0.820274,0.775258,15,8
s64_minmax_preprocessed,0.775,150,0.759958,0.820988,0.647864,0.800079,0.801753,14,8
s64_minmax_preprocessed,0.75,150,0.759516,0.815938,0.647265,0.793644,0.807646,14,8
s64_minmax_preprocessed,0.7,150,0.758891,0.814594,0.646477,0.787211,0.81342,14,8
s64_minmax_preprocessed,0.725,150,0.758891,0.814594,0.646477,0.787211,0.81342,14,8
s64_minmax_preprocessed,0.9,150,0.758315,0.83674,0.646962,0.835222,0.758972,15,8
s64_minmax_preprocessed,0.675,150,0.758031,0.812021,0.645415,0.780497,0.819008,12,8
s64_minmax_preprocessed,0.625,150,0.756988,0.808067,0.644083,0.773931,0.824484,13,8
s64_minmax_preprocessed,0.65,150,0.756988,0.808067,0.644083,0.773931,0.824484,13,8
s64_minmax_preprocessed,0.6,150,0.755671,0.80343,0.642449,0.767133,0.829659,13,8
s64_minmax_preprocessed,0.55,150,0.754331,0.803008,0.640792,0.760622,0.834748,13,8
s64_minmax_preprocessed,0.575,150,0.754331,0.803008,0.640792,0.760622,0.834748,13,8
s64_minmax_preprocessed,0.925,150,0.753976,0.822634,0.642427,0.843917,0.739241,19,9
s64_minmax_preprocessed,0.525,150,0.752896,0.79905,0.639048,0.754182,0.839656,13,8
s64_minmax_preprocessed,0.5,150,0.751271,0.796232,0.637084,0.747816,0.844344,13,8
s64_minmax_preprocessed,0.95,150,0.746644,0.820552,0.634564,0.858993,0.716386,19,10
