label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed_boundary_hard,0.85,150,0.757799,0.830713,0.645523,0.81354,0.778912,17,7
s64_minmax_preprocessed_boundary_hard,0.825,150,0.757544,0.830553,0.645117,0.807641,0.784233,16,7
s64_minmax_preprocessed_boundary_hard,0.8,150,0.757364,0.826762,0.644801,0.802164,0.789478,14,7
s64_minmax_preprocessed_boundary_hard,0.875,150,0.757216,0.830249,0.645084,0.818084,0.767234,18,7
s64_minmax_preprocessed_boundary_hard,0.775,150,0.757003,0.825303,0.644277,0.796469,0.794781,15,8
s64_minmax_preprocessed_boundary_hard,0.75,150,0.756544,0.822773,0.643669,0.790934,0.799579,15,8
s64_minmax_preprocessed_boundary_hard,0.725,150,0.755993,0.820094,0.642919,0.785467,0.804323,15,8
s64_minmax_preprocessed_boundary_hard,0.9,150,0.755456,0.830504,0.643285,0.829889,0.754057,18,8
s64_minmax_preprocessed_boundary_hard,0.7,150,0.755365,0.817194,0.6421,0.780031,0.808961,14,8
s64_minmax_preprocessed_boundary_hard,0.675,150,0.754734,0.815232,0.64129,0.774719,0.813558,14,8
s64_minmax_preprocessed_boundary_hard,0.65,150,0.753951,0.809484,0.640315,0.769361,0.817929,13,8
s64_minmax_preprocessed_boundary_hard,0.625,150,0.753061,0.805697,0.639224,0.770658,0.822307,14,8
s64_minmax_preprocessed_boundary_hard,0.575,150,0.752216,0.806868,0.638197,0.76561,0.826532,14,8
s64_minmax_preprocessed_boundary_hard,0.6,150,0.752216,0.806868,0.638197,0.76561,0.826532,14,8
s64_minmax_preprocessed_boundary_hard,0.925,150,0.752118,0.820833,0.639985,0.842372,0.738721,19,8
s64_minmax_preprocessed_boundary_hard,0.55,150,0.751209,0.811212,0.636985,0.760453,0.830626,14,8
s64_minmax_preprocessed_boundary_hard,0.525,150,0.750215,0.809296,0.635765,0.755362,0.834766,14,9
s64_minmax_preprocessed_boundary_hard,0.5,150,0.749005,0.809023,0.634317,0.749928,0.838574,12,9
s64_minmax_preprocessed_boundary_hard,0.95,150,0.74282,0.821015,0.630661,0.862824,0.709948,19,10
