label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.825,150,0.757591,0.829475,0.6452,0.80908,0.782913,16,7
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.85,150,0.75757,0.831071,0.645384,0.816941,0.775225,17,7
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.8,150,0.7572,0.826335,0.644624,0.802095,0.789325,14,7
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.875,150,0.756952,0.830297,0.644796,0.819288,0.76575,18,7
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.775,150,0.756917,0.825116,0.644174,0.795945,0.795095,15,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.75,150,0.756459,0.822298,0.64357,0.790159,0.800303,15,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.725,150,0.755935,0.819472,0.642882,0.784901,0.804864,15,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.7,150,0.755346,0.817228,0.642091,0.780052,0.808912,14,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.9,150,0.755334,0.830439,0.643185,0.830456,0.75343,18,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.675,150,0.754704,0.81518,0.641258,0.77536,0.812767,14,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.65,150,0.754061,0.810839,0.640433,0.770964,0.816443,13,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.625,150,0.753388,0.808117,0.639594,0.766741,0.819845,14,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.6,150,0.752834,0.805465,0.638923,0.769416,0.82331,14,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.575,150,0.752047,0.806537,0.638011,0.765399,0.826453,14,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.55,150,0.751343,0.810362,0.637157,0.761611,0.829569,14,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.925,150,0.751086,0.822037,0.639022,0.845469,0.734685,19,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.525,150,0.750566,0.810847,0.636202,0.757767,0.832591,14,8
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.5,150,0.749846,0.809572,0.635334,0.753807,0.835569,13,9
s64_minmax_preprocessed_boundary_hard_last_decoder_fp32,0.95,150,0.740379,0.819461,0.628214,0.867286,0.703643,19,10
