label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.85,150,0.757759,0.82998,0.645494,0.814501,0.777903,17,7
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.825,150,0.757495,0.829743,0.645053,0.806615,0.785191,16,7
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.875,150,0.757294,0.831264,0.645142,0.816602,0.768685,18,7
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.8,150,0.757232,0.825582,0.644565,0.799842,0.791653,14,7
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.775,150,0.756738,0.824185,0.643914,0.793618,0.797193,15,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.75,150,0.756241,0.822058,0.643247,0.787949,0.802107,15,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.9,150,0.755897,0.831888,0.643731,0.827683,0.75665,18,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.725,150,0.755677,0.820199,0.642498,0.782822,0.806544,15,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.7,150,0.755094,0.815527,0.641718,0.778036,0.810603,14,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.675,150,0.754501,0.813952,0.640995,0.773486,0.814413,13,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.65,150,0.753887,0.809425,0.640234,0.769198,0.817986,13,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.625,150,0.7532,0.806468,0.639379,0.765011,0.821407,14,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.6,150,0.752531,0.805121,0.638568,0.7677,0.824675,14,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.925,150,0.752255,0.820937,0.64016,0.842492,0.738894,19,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.575,150,0.75187,0.808667,0.637769,0.763916,0.827824,14,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.55,150,0.75112,0.811372,0.636875,0.760115,0.830854,14,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.525,150,0.750396,0.809917,0.635975,0.756377,0.833901,13,8
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.5,150,0.749611,0.809635,0.635049,0.752326,0.836779,12,9
s64_minmax_preprocessed_boundary_hard_out_head_fp32,0.95,150,0.742116,0.820657,0.62996,0.863972,0.708194,19,10
