label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed_last_decoder_fp32,0.825,150,0.760583,0.831618,0.64886,0.807022,0.789119,15,8
s64_minmax_preprocessed_last_decoder_fp32,0.8,150,0.760351,0.827517,0.648468,0.807039,0.795405,16,8
s64_minmax_preprocessed_last_decoder_fp32,0.85,150,0.760309,0.82874,0.648702,0.814568,0.781287,15,8
s64_minmax_preprocessed_last_decoder_fp32,0.775,150,0.760073,0.820766,0.648057,0.801028,0.801024,14,8
s64_minmax_preprocessed_last_decoder_fp32,0.875,150,0.759816,0.835525,0.648351,0.823566,0.771863,16,8
s64_minmax_preprocessed_last_decoder_fp32,0.75,150,0.759734,0.818449,0.647596,0.795688,0.805947,14,8
s64_minmax_preprocessed_last_decoder_fp32,0.725,150,0.759315,0.81492,0.646998,0.79069,0.810507,14,8
s64_minmax_preprocessed_last_decoder_fp32,0.7,150,0.758859,0.814611,0.646397,0.786045,0.814661,14,8
s64_minmax_preprocessed_last_decoder_fp32,0.675,150,0.758327,0.812575,0.645738,0.781624,0.818527,12,8
s64_minmax_preprocessed_last_decoder_fp32,0.9,150,0.758306,0.836679,0.646903,0.834363,0.759678,15,8
s64_minmax_preprocessed_last_decoder_fp32,0.65,150,0.757655,0.80819,0.6449,0.777206,0.822084,12,8
s64_minmax_preprocessed_last_decoder_fp32,0.625,150,0.756946,0.808531,0.644035,0.773183,0.825369,13,8
s64_minmax_preprocessed_last_decoder_fp32,0.6,150,0.756239,0.807178,0.643142,0.768981,0.828623,13,7
s64_minmax_preprocessed_last_decoder_fp32,0.575,150,0.755385,0.804014,0.642075,0.765004,0.831609,13,8
s64_minmax_preprocessed_last_decoder_fp32,0.55,150,0.754619,0.803575,0.641126,0.761223,0.834674,13,8
s64_minmax_preprocessed_last_decoder_fp32,0.925,150,0.754467,0.823341,0.642806,0.84852,0.741694,19,9
s64_minmax_preprocessed_last_decoder_fp32,0.525,150,0.753804,0.802494,0.640112,0.757433,0.837637,13,8
s64_minmax_preprocessed_last_decoder_fp32,0.5,150,0.752795,0.798887,0.638902,0.753339,0.840505,13,8
s64_minmax_preprocessed_last_decoder_fp32,0.95,150,0.74465,0.816604,0.632471,0.862259,0.711115,19,10
