label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed_out_head_fp32,0.825,150,0.760514,0.832028,0.648774,0.813682,0.788953,15,8
s64_minmax_preprocessed_out_head_fp32,0.8,150,0.760448,0.826624,0.648559,0.806913,0.795621,16,8
s64_minmax_preprocessed_out_head_fp32,0.85,150,0.760398,0.830354,0.648849,0.814907,0.781097,15,8
s64_minmax_preprocessed_out_head_fp32,0.775,150,0.760052,0.821281,0.647981,0.800603,0.801403,14,8
s64_minmax_preprocessed_out_head_fp32,0.875,150,0.759794,0.834972,0.648375,0.824042,0.771373,16,8
s64_minmax_preprocessed_out_head_fp32,0.75,150,0.759656,0.816705,0.647451,0.794962,0.806497,14,8
s64_minmax_preprocessed_out_head_fp32,0.725,150,0.759152,0.815002,0.646787,0.789735,0.811168,14,8
s64_minmax_preprocessed_out_head_fp32,0.7,150,0.758626,0.813669,0.646138,0.785005,0.815373,14,8
s64_minmax_preprocessed_out_head_fp32,0.9,150,0.758376,0.836853,0.647012,0.835163,0.75913,15,8
s64_minmax_preprocessed_out_head_fp32,0.675,150,0.75805,0.811464,0.645457,0.780175,0.81937,12,8
s64_minmax_preprocessed_out_head_fp32,0.65,150,0.757402,0.808304,0.644609,0.775869,0.823077,12,8
s64_minmax_preprocessed_out_head_fp32,0.625,150,0.756618,0.808559,0.643608,0.771526,0.826525,13,8
s64_minmax_preprocessed_out_head_fp32,0.6,150,0.755746,0.803739,0.64254,0.767272,0.829729,13,8
s64_minmax_preprocessed_out_head_fp32,0.575,150,0.754881,0.803212,0.641457,0.763028,0.832921,13,8
s64_minmax_preprocessed_out_head_fp32,0.925,150,0.754577,0.823984,0.643033,0.842547,0.741334,19,9
s64_minmax_preprocessed_out_head_fp32,0.55,150,0.754078,0.802995,0.640473,0.759216,0.835925,13,8
s64_minmax_preprocessed_out_head_fp32,0.525,150,0.753193,0.79977,0.639386,0.755243,0.838944,13,8
s64_minmax_preprocessed_out_head_fp32,0.5,150,0.752209,0.796215,0.638207,0.751314,0.841796,13,8
s64_minmax_preprocessed_out_head_fp32,0.95,150,0.744558,0.815928,0.632411,0.862165,0.710835,19,10
