label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed_qat_boundary_hard,0.55,150,0.777928,0.833815,0.672973,0.819883,0.810766,13,7
s64_minmax_preprocessed_qat_boundary_hard,0.525,150,0.777875,0.837748,0.672707,0.816003,0.814575,13,7
s64_minmax_preprocessed_qat_boundary_hard,0.5,150,0.777841,0.83648,0.67246,0.812023,0.818518,13,7
s64_minmax_preprocessed_qat_boundary_hard,0.575,150,0.777811,0.830723,0.673034,0.823815,0.806858,14,7
s64_minmax_preprocessed_qat_boundary_hard,0.6,150,0.777611,0.8289,0.673013,0.827401,0.802837,14,6
s64_minmax_preprocessed_qat_boundary_hard,0.625,150,0.777418,0.825742,0.672963,0.831161,0.798858,14,6
s64_minmax_preprocessed_qat_boundary_hard,0.65,150,0.777075,0.822983,0.672772,0.834827,0.794759,14,6
s64_minmax_preprocessed_qat_boundary_hard,0.675,150,0.776657,0.821036,0.672489,0.838458,0.790591,15,6
s64_minmax_preprocessed_qat_boundary_hard,0.7,150,0.77609,0.817827,0.672048,0.842045,0.786341,16,7
s64_minmax_preprocessed_qat_boundary_hard,0.725,150,0.774679,0.820776,0.67075,0.849061,0.777789,16,7
s64_minmax_preprocessed_qat_boundary_hard,0.75,150,0.773915,0.82144,0.670044,0.852679,0.773397,17,7
s64_minmax_preprocessed_qat_boundary_hard,0.775,150,0.773037,0.824649,0.669224,0.85571,0.768972,18,8
s64_minmax_preprocessed_qat_boundary_hard,0.8,150,0.77183,0.827572,0.667996,0.859235,0.764172,18,8
s64_minmax_preprocessed_qat_boundary_hard,0.825,150,0.76884,0.832186,0.664884,0.864923,0.754171,17,9
s64_minmax_preprocessed_qat_boundary_hard,0.85,150,0.765359,0.8318,0.66121,0.871229,0.743852,18,9
s64_minmax_preprocessed_qat_boundary_hard,0.875,150,0.761116,0.837827,0.656715,0.877581,0.732657,22,9
s64_minmax_preprocessed_qat_boundary_hard,0.9,150,0.756163,0.839253,0.651399,0.883584,0.720889,24,9
s64_minmax_preprocessed_qat_boundary_hard,0.925,150,0.745905,0.833258,0.640366,0.893032,0.699664,25,11
s64_minmax_preprocessed_qat_boundary_hard,0.95,150,0.725859,0.824965,0.618726,0.904677,0.664165,26,12
