label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.55,150,0.777888,0.834453,0.672933,0.819951,0.810705,13,7
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.525,150,0.777865,0.837506,0.672713,0.816253,0.814298,13,7
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.5,150,0.777798,0.837301,0.672414,0.812712,0.817828,13,7
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.575,150,0.777707,0.831604,0.6729,0.823476,0.806937,14,7
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.6,150,0.777657,0.828982,0.673024,0.827255,0.803213,14,6
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.625,150,0.777399,0.82607,0.672907,0.830796,0.799298,14,6
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.65,150,0.77703,0.823454,0.672689,0.83454,0.795132,14,6
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.675,150,0.776577,0.820396,0.672371,0.838014,0.790836,15,6
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.7,150,0.775986,0.817503,0.671892,0.841992,0.786247,16,7
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.725,150,0.775246,0.822229,0.671277,0.846004,0.781316,16,7
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.75,150,0.774305,0.820258,0.67039,0.850392,0.776066,17,7
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.775,150,0.77331,0.823558,0.669494,0.85516,0.770345,18,8
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.8,150,0.771578,0.829083,0.667741,0.859456,0.763476,18,8
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.825,150,0.769249,0.832352,0.665333,0.86381,0.755654,17,9
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.85,150,0.766293,0.830298,0.662232,0.869483,0.746665,18,9
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.875,150,0.762202,0.837132,0.657879,0.87597,0.735513,22,9
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.9,150,0.756368,0.839079,0.651635,0.883548,0.721324,24,9
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.925,150,0.746058,0.833567,0.640518,0.893093,0.699947,25,11
s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32,0.95,150,0.724991,0.823319,0.617798,0.904803,0.662812,26,12
