label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.525,150,0.77792,0.835798,0.672866,0.817817,0.812818,13,7
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.55,150,0.777919,0.832703,0.673041,0.821504,0.809246,14,7
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.5,150,0.777849,0.837273,0.672588,0.814124,0.816412,13,7
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.575,150,0.777721,0.829819,0.67299,0.825099,0.80544,14,6
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.6,150,0.77756,0.827879,0.673008,0.828476,0.801644,14,5
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.625,150,0.777336,0.825186,0.672909,0.832247,0.797718,14,6
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.65,150,0.776981,0.822346,0.672709,0.835891,0.793569,14,6
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.675,150,0.776451,0.820127,0.672309,0.839563,0.789223,15,7
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.7,150,0.775816,0.817251,0.671823,0.843422,0.784584,16,7
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.725,150,0.775049,0.82222,0.671115,0.847417,0.779714,16,7
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.75,150,0.774146,0.820968,0.670279,0.85185,0.774479,17,7
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.775,150,0.772968,0.824399,0.669152,0.855907,0.768684,18,8
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.8,150,0.771145,0.829307,0.667282,0.859951,0.761864,18,8
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.825,150,0.768811,0.832163,0.664843,0.864796,0.754215,17,9
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.85,150,0.765922,0.830411,0.661807,0.870204,0.745454,18,9
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.875,150,0.761788,0.836777,0.657425,0.876466,0.734486,22,9
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.9,150,0.756103,0.839116,0.651333,0.883745,0.720724,24,9
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.925,150,0.746137,0.833245,0.640598,0.892985,0.70006,25,10
s64_minmax_preprocessed_qat_boundary_hard_out_head_fp32,0.95,150,0.725979,0.825182,0.618869,0.90447,0.664338,26,12
